x,y,t,velocity,gaze_state
490.1912231445313,186.0028381347656,290.395661,230.15914461383903,OTHER
493.57171630859375,185.65960693359375,290.405728,337.5258878177789,SACCADE
498.088623046875,186.0612335205078,290.415752,452.3869870332895,SACCADE
496.5662841796875,184.6531982421875,290.425749,207.42854626146374,OTHER
493.0294189453125,172.21066284179688,290.435734,1295.4891466087442,SACCADE
491.8077697753906,166.58897399902344,290.4458,571.5175818094223,SACCADE
493.9273681640625,168.05812072753906,290.455825,257.2539268023342,OTHER
492.2410278320313,171.06227111816406,290.465821,344.6471226566565,SACCADE
490.7212219238281,169.65756225585938,290.475806,207.26540969790676,OTHER
490.9273681640625,169.14874267578125,290.485873,54.53395197402752,OTHER
490.6739807128906,168.6785888671875,290.495898,53.27559345403732,OTHER
491.3769226074219,167.78121948242188,290.505893,114.04821323107822,OTHER
492.7451477050781,166.33680725097656,290.515879,199.23537229775866,OTHER
493.4104614257813,165.78965759277344,290.525946,85.56699919109191,OTHER
493.81298828125,164.86021423339844,290.535971,101.03378321556814,OTHER
494.1595764160156,164.45553588867188,290.545966,53.307785435764636,OTHER
495.2652893066406,164.0448760986328,290.555951,118.12813368286437,OTHER
505.8649291992187,164.2228546142578,290.566018,1053.0579125451936,SACCADE
528.9124145507812,164.24954223632812,290.576042,2299.231923676101,SACCADE
536.01904296875,165.9051513671875,290.586038,729.9851423408932,SACCADE
534.9784545898438,165.70376586914062,290.596023,106.14885925069308,OTHER
534.2828979492188,165.0978240966797,290.606091,91.62468770192554,OTHER
533.524169921875,165.10385131835938,290.616115,75.69353218672039,OTHER
533.5963134765625,164.40452575683594,290.62611,70.33886303880226,OTHER
533.9232177734375,164.17486572265625,290.636096,40.00724925538754,OTHER
533.7372436523438,164.5082244873047,290.646163,37.91850678902844,OTHER
533.3832397460938,165.00015258789062,290.656188,60.455134264466665,OTHER
532.4656372070312,165.0773162841797,290.666184,92.12097599764563,OTHER
531.0529174804688,165.5428009033203,290.676168,148.98153690582916,OTHER
529.8895874023438,165.06285095214844,290.686236,124.99473479005273,OTHER
529.5715942382812,165.2051544189453,290.69626,34.75477578332559,OTHER
529.535400390625,165.55487060546875,290.706256,35.17248274068089,OTHER
529.64013671875,166.00830078125,290.716242,46.60217706131052,OTHER
