frame_index,frame_time,transformed_gaze_x,transformed_gaze_y
364,14.586,nan,nan
365,14.626,nan,nan
366,14.667,nan,nan
367,14.707,nan,nan
368,14.747,nan,nan
369,14.787,nan,nan
370,14.827,nan,nan
371,14.867,nan,nan
372,14.907,nan,nan
373,14.947,nan,nan
374,14.987,nan,nan
375,15.027,nan,nan
376,15.067,nan,nan
377,15.107,nan,nan
378,15.147,nan,nan
379,15.187,nan,nan
380,15.228,nan,nan
381,15.268,nan,nan
382,15.308,nan,nan
383,15.348,nan,nan
384,15.388,nan,nan
385,15.428,nan,nan
386,15.468,nan,nan
387,15.508,nan,nan
388,15.548,nan,nan
389,15.588,nan,nan
390,15.628,nan,nan
391,15.668,nan,nan
392,15.708,nan,nan
393,15.748,nan,nan
394,15.789,nan,nan
395,15.829,nan,nan
396,15.869,nan,nan
397,15.909,nan,nan
398,15.949,nan,nan
399,15.989,nan,nan
400,16.029,nan,nan
401,16.069,nan,nan
402,16.109,nan,nan
403,16.149,nan,nan
404,16.189,nan,nan
405,16.229,nan,nan
406,16.269,nan,nan
407,16.31,nan,nan
408,16.35,nan,nan
409,16.39,nan,nan
410,16.43,nan,nan
411,16.47,nan,nan
412,16.51,nan,nan
413,16.55,nan,nan
414,16.59,nan,nan
415,16.63,nan,nan
416,16.67,nan,nan
417,16.71,nan,nan
418,16.75,nan,nan
419,16.79,nan,nan
420,16.83,nan,nan
421,16.871,nan,nan
422,16.911,nan,nan
423,16.951,nan,nan
424,16.991,nan,nan
425,17.031,nan,nan
426,17.071,nan,nan
427,17.111,nan,nan
428,17.151,nan,nan
429,17.191,nan,nan
430,17.231,nan,nan
431,17.271,nan,nan
432,17.311,nan,nan
433,17.351,nan,nan
434,17.391,nan,nan
435,17.432,nan,nan
436,17.472,nan,nan
437,17.512,nan,nan
438,17.552,nan,nan
439,17.592,nan,nan
440,17.632,nan,nan
441,17.672,nan,nan
442,17.712,nan,nan
443,17.752,nan,nan
444,17.792,nan,nan
445,17.832,nan,nan
446,17.872,nan,nan
447,17.912,nan,nan
448,17.952,nan,nan
449,17.993,nan,nan
450,18.033,nan,nan
451,18.073,nan,nan
452,18.113,nan,nan
453,18.153,nan,nan
454,18.193,nan,nan
455,18.233,nan,nan
456,18.273,nan,nan
457,18.313,nan,nan
458,18.353,nan,nan
459,18.393,nan,nan
460,18.433,nan,nan
461,18.473,nan,nan
462,18.513,nan,nan
463,18.554,nan,nan
